"label","sms"
"ham","Ü mean it's confirmed... I tot they juz say oni... Ok then... "
"ham","Great! How is the office today?"
"spam","Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705"
"ham","Me fine..absolutly fine"
"ham","Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!"
"ham","Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!"
"ham","Its hard to believe things like this. All can say lie but think twice before saying anything to me."
"ham","Feb  &lt;#&gt;  is I LOVE U day. Send dis to all ur VALUED FRNDS evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr"
"ham","As in different styles?"
"ham","I guess it is useless calling u 4 something important."
"ham","Thanks again for your reply today. When is ur visa coming in. And r u still buying the gucci and bags. My sister things are not easy, uncle john also has his own bills so i really need to think about how to make my own money. Later sha."
"spam","U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594"
"spam","Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+"
"ham","I thk ü gotta go home by urself. Cos i'll b going out shopping 4 my frens present. "
"ham","Where can download clear movies. Dvd copies."
"ham","… and don‘t worry we‘ll have finished by march … ish!"
"ham","I sent them. Do you like?"
"spam","lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468"
"ham","S:-)kallis wont play in first two odi:-)"
"spam","Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet."
"ham","Ela kano.,il download, come wen ur free.."
"ham","I wil be there with in  &lt;#&gt;  minutes. Got any space"
"ham","Good. No swimsuit allowed :)"
"ham","You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged"
"ham","Ooh, 4got, i'm gonna start belly dancing in moseley weds 6.30 if u want 2 join me, they have a cafe too. "
"ham","Dont know supports ass and srt i thnk. I think ps3 can play through usb too"
"spam","HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k"
"ham","Cos i was out shopping wif darren jus now n i called him 2 ask wat present he wan lor. Then he started guessing who i was wif n he finally guessed darren lor."
"ham","Sounds good, keep me posted"
"ham","I prefer my free days... Tues, wed, fri oso can... Ü ask those workin lor..."
"ham","Sorry, I'll call later"
"ham","I'm outside islands, head towards hard rock and you'll run into me"
"ham","Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? "
"ham","Nah man, my car is meant to be crammed full of people"
"ham","And popping &lt;#&gt; ibuprofens was no help."
"ham","Hello! How r u? Im bored. Inever thought id get bored with the tv but I am. Tell me something exciting has happened there? Anything! =/"
"ham","Lemme know when I can swing by and pick up, I'm free basically any time after 1 all this semester"
"ham","What's nannys address?"
"ham","I just really need shit before tomorrow and I know you won't be awake before like 6"
"ham","Hi dis is yijue i would be happy to work wif ü all for gek1510..."
"ham","Same, I'm at my great aunts anniversary party in tarpon springs"
"ham","Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur rents mayb interested in it, I hav 12,000pes, so around £48, tb, James."
"ham","Doing my masters. When will you buy a bb cos i have for sale and how's bf"
"ham","Yar i wanted 2 scold u yest but late already... I where got zhong se qing you? If u ask me b4 he ask me then i'll go out w u all lor. N u still can act so real."
"spam","You are a £1000 winner or Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 09071517866 Now! 150ppmPOBox10183BhamB64XE"
"ham","No pic. Please re-send."
"spam","WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only."
"ham","645"
"ham","Thanx but my birthday is over already."
"ham","No other Valentines huh? The proof is on your fb page. Ugh I'm so glad I really DIDN'T watch your rupaul show you TOOL!"
"ham","Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola"
"ham","Lovely smell on this bus and it ain't tobacco... "
"spam","Latest Nokia Mobile or iPOD MP3 Player +£400 proze GUARANTEED! Reply with: WIN to 83355 now! Norcorp Ltd.£1,50/Mtmsgrcvd18+"
"ham","Just checked out, heading out to drop off my stuff now"
"ham","I emailed yifeng my part oredi.. Can ü get it fr him.."
"spam","U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565"
"ham","K.k..how is your sister kids?"
"ham","This is wishing you a great day. Moji told me about your offer and as always i was speechless. You offer so easily to go to great lengths on my behalf and its stunning. My exam is next friday. After that i will keep in touch more. Sorry."
"ham","K I'm ready,  &lt;#&gt; ?"
"spam","Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app "
"spam","HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com"
"spam","Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. £1.50 SP:Tyrone"
"ham","Unni thank you dear for the recharge..Rakhesh"
"ham","Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear."
"ham","Dear got bus directly to calicut"
"spam","UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age16+£1.50perWKsub"
"ham","My friend, she's studying at warwick, we've planned to go shopping and to concert tmw, but it may be canceled, havn't seen  for ages, yeah we should get together sometime!"
"ham","No i'm not gonna be able to. || too late notice. || i'll be home in a few weeks anyway. || what are the plans"
"ham","Sorry, I'll call later  &lt;#&gt; mins"
"ham"," and  picking them up from various points"
"ham","If he started searching he will get job in few days.he have great potential and talent."
